Algorithm,Seed,BestDistance,RuntimeSeconds,FitnessEvaluations,NumberVehicles,BestRoutes
ACO,4,1092.4034042591873,91.69809619989246,50000,8,"[[0, 27, 9, 45, 2, 49, 0], [0, 50, 32, 6, 35, 38, 15, 1, 36, 0], [0, 44, 12, 46, 3, 22, 28, 48, 17, 0], [0, 13, 21, 29, 11, 42, 5, 25, 0], [0, 24, 26, 34, 10, 37, 30, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 7, 20, 40, 14, 43, 4, 0], [0, 39, 8, 31, 18, 0]]"
ACO,5,1114.7331970838084,98.46607719990425,50000,8,"[[0, 24, 46, 3, 17, 48, 28, 22, 31, 0], [0, 27, 9, 45, 2, 49, 0], [0, 44, 12, 50, 32, 6, 35, 38, 15, 0], [0, 20, 40, 14, 43, 4, 18, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 21, 29, 1, 36, 11, 42, 13, 0], [0, 8, 39, 26, 34, 10, 37, 0], [0, 30, 7, 25, 5, 0]]"
ACO,6,1105.119115886707,90.766100600129,50000,8,"[[0, 44, 12, 50, 32, 6, 35, 38, 15, 0], [0, 27, 9, 45, 2, 49, 0], [0, 24, 26, 34, 10, 37, 16, 0], [0, 8, 39, 31, 22, 28, 48, 17, 0], [0, 46, 3, 18, 4, 43, 14, 40, 0], [0, 21, 13, 29, 1, 36, 11, 42, 0], [0, 5, 25, 19, 47, 33, 23, 0], [0, 41, 20, 7, 30, 0]]"
ACO,7,1101.0208075360629,97.84151699999347,50000,8,"[[0, 27, 9, 45, 2, 49, 0], [0, 13, 21, 29, 11, 42, 5, 25, 0], [0, 1, 36, 15, 38, 35, 6, 32, 50, 0], [0, 44, 12, 48, 28, 22, 3, 17, 46, 0], [0, 24, 26, 34, 10, 37, 30, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 20, 7, 40, 14, 43, 4, 0], [0, 8, 39, 31, 18, 0]]"
ACO,8,1094.3980443088967,92.29404080007225,50000,8,"[[0, 25, 5, 42, 11, 36, 1, 15, 6, 0], [0, 27, 9, 45, 2, 49, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 24, 46, 3, 17, 48, 28, 22, 31, 0], [0, 44, 12, 50, 32, 35, 38, 29, 13, 0], [0, 21, 39, 8, 18, 4, 0], [0, 43, 14, 40, 20, 7, 30, 0], [0, 37, 10, 34, 26, 0]]"
ACO,9,1089.0298847984172,90.63515960006043,50000,8,"[[0, 27, 9, 45, 2, 49, 0], [0, 50, 32, 6, 35, 38, 15, 1, 36, 0], [0, 44, 12, 46, 3, 22, 28, 48, 17, 0], [0, 13, 21, 29, 11, 42, 5, 25, 0], [0, 24, 26, 34, 10, 37, 30, 0], [0, 20, 7, 40, 14, 43, 4, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 18, 8, 39, 31, 0]]"
ACO,10,1110.5461961932094,96.0690397999715,50000,8,"[[0, 27, 9, 45, 2, 49, 0], [0, 25, 42, 11, 36, 1, 15, 38, 35, 0], [0, 44, 12, 50, 32, 6, 21, 29, 0], [0, 46, 3, 22, 28, 48, 17, 31, 8, 0], [0, 24, 26, 34, 10, 37, 30, 0], [0, 13, 5, 19, 47, 33, 23, 41, 0], [0, 16, 7, 20, 40, 14, 43, 0], [0, 39, 18, 4, 0]]"
ACO,11,1095.1485536489704,95.04889680002816,50000,8,"[[0, 27, 9, 45, 2, 49, 0], [0, 13, 5, 25, 42, 11, 29, 21, 0], [0, 46, 3, 22, 28, 48, 17, 32, 6, 35, 0], [0, 44, 12, 50, 38, 15, 36, 1, 0], [0, 24, 26, 34, 10, 37, 30, 0], [0, 40, 20, 7, 14, 43, 4, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 18, 8, 39, 31, 0]]"
ACO,12,1096.8330924168283,96.47376419999637,50000,8,"[[0, 44, 12, 46, 3, 31, 39, 8, 26, 0], [0, 27, 9, 45, 2, 49, 0], [0, 24, 10, 34, 18, 4, 43, 40, 0], [0, 13, 25, 5, 42, 11, 29, 21, 0], [0, 50, 32, 6, 35, 38, 15, 36, 1, 0], [0, 37, 30, 7, 14, 20, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 17, 48, 28, 22, 0]]"
ACO,13,1064.9914287308031,95.06337069999427,50000,8,"[[0, 27, 9, 45, 2, 49, 0], [0, 21, 29, 1, 36, 15, 38, 35, 6, 0], [0, 44, 12, 50, 32, 17, 48, 0], [0, 46, 3, 22, 28, 31, 39, 8, 34, 0], [0, 24, 26, 10, 37, 30, 7, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 20, 40, 14, 43, 4, 18, 0], [0, 13, 5, 25, 42, 11, 0]]"
ACO,14,1101.75467785289,95.94181700004265,50000,8,"[[0, 27, 9, 45, 2, 49, 0], [0, 44, 12, 50, 32, 6, 35, 38, 15, 0], [0, 24, 46, 3, 22, 28, 48, 17, 31, 0], [0, 21, 29, 1, 36, 11, 42, 13, 0], [0, 4, 43, 14, 40, 20, 7, 0], [0, 5, 25, 19, 47, 33, 23, 0], [0, 39, 8, 18, 34, 10, 37, 0], [0, 16, 41, 30, 26, 0]]"
ACO,15,1065.8781648604297,101.49421550007537,50000,8,"[[0, 27, 9, 45, 2, 49, 0], [0, 46, 3, 22, 28, 48, 17, 32, 6, 35, 0], [0, 44, 12, 50, 38, 15, 36, 1, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 24, 26, 34, 18, 8, 39, 31, 0], [0, 4, 43, 14, 40, 20, 7, 0], [0, 21, 29, 11, 42, 5, 25, 13, 0], [0, 10, 37, 30, 0]]"
ACO,16,1093.6972314958998,102.21840859996155,50000,8,"[[0, 46, 3, 22, 28, 48, 17, 32, 6, 35, 0], [0, 44, 12, 50, 38, 15, 36, 1, 0], [0, 27, 9, 45, 2, 49, 0], [0, 13, 21, 29, 11, 42, 25, 5, 0], [0, 24, 26, 34, 10, 37, 30, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 4, 43, 14, 40, 20, 7, 0], [0, 8, 39, 31, 18, 0]]"
ACO,17,1080.9986817457618,103.57014049985446,50000,8,"[[0, 46, 3, 22, 28, 48, 17, 32, 6, 35, 0], [0, 27, 9, 45, 2, 49, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 44, 12, 50, 38, 15, 36, 1, 0], [0, 21, 29, 11, 42, 5, 25, 13, 0], [0, 24, 26, 34, 10, 37, 30, 0], [0, 7, 20, 40, 14, 43, 4, 0], [0, 18, 8, 31, 39, 0]]"
ACO,18,1090.1812323623683,103.60172090004198,50000,8,"[[0, 13, 5, 25, 42, 11, 29, 21, 0], [0, 27, 9, 45, 2, 49, 0], [0, 46, 3, 22, 28, 48, 17, 32, 6, 35, 0], [0, 44, 12, 50, 38, 15, 1, 36, 0], [0, 24, 26, 34, 10, 37, 30, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 7, 20, 40, 14, 43, 4, 0], [0, 18, 39, 31, 8, 0]]"
ACO,19,1059.3027785763238,103.99097619997337,50000,8,"[[0, 50, 32, 6, 35, 38, 15, 1, 36, 0], [0, 24, 26, 31, 39, 8, 18, 34, 0], [0, 27, 9, 45, 2, 49, 0], [0, 44, 12, 46, 3, 22, 28, 48, 17, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 13, 5, 25, 42, 11, 29, 21, 0], [0, 20, 7, 40, 14, 43, 4, 0], [0, 37, 10, 30, 0]]"
ACO,20,1095.280604387023,102.62216879986227,50000,8,"[[0, 27, 9, 45, 2, 49, 0], [0, 46, 3, 22, 28, 31, 39, 8, 34, 0], [0, 24, 26, 10, 37, 30, 7, 0], [0, 44, 21, 29, 11, 42, 25, 5, 0], [0, 13, 1, 36, 15, 38, 35, 6, 32, 17, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 20, 40, 14, 43, 4, 18, 0], [0, 12, 50, 48, 0]]"
ACO,21,1101.3485216287743,101.48856580001302,50000,8,"[[0, 44, 12, 50, 32, 6, 35, 38, 15, 0], [0, 27, 9, 45, 2, 49, 0], [0, 31, 39, 8, 34, 10, 37, 0], [0, 46, 3, 22, 28, 48, 17, 21, 0], [0, 24, 26, 30, 7, 40, 20, 41, 0], [0, 16, 23, 33, 47, 19, 25, 0], [0, 5, 42, 11, 36, 1, 29, 13, 0], [0, 18, 4, 43, 14, 0]]"
ACO,22,1070.4609517528727,101.92524649994448,50000,8,"[[0, 44, 12, 46, 3, 22, 28, 48, 17, 0], [0, 27, 9, 45, 2, 49, 0], [0, 36, 1, 15, 38, 35, 6, 32, 50, 0], [0, 21, 13, 29, 11, 42, 5, 25, 0], [0, 24, 26, 8, 39, 31, 18, 34, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 4, 43, 14, 40, 7, 20, 0], [0, 30, 37, 10, 0]]"
ACO,23,1105.3665527680037,102.09404539992101,50000,8,"[[0, 27, 9, 45, 2, 49, 0], [0, 44, 21, 29, 11, 42, 5, 25, 0], [0, 13, 1, 36, 15, 38, 35, 6, 32, 46, 24, 0], [0, 20, 7, 40, 14, 43, 4, 0], [0, 8, 39, 31, 22, 28, 48, 17, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 50, 12, 3, 18, 34, 10, 0], [0, 37, 30, 26, 0]]"
ACO,24,1084.8963128747632,101.58009810000658,50000,8,"[[0, 18, 4, 43, 14, 40, 20, 0], [0, 44, 12, 50, 32, 6, 35, 38, 15, 0], [0, 17, 48, 28, 22, 3, 46, 24, 26, 0], [0, 27, 9, 45, 2, 49, 0], [0, 21, 29, 1, 36, 11, 42, 13, 0], [0, 5, 25, 19, 47, 33, 23, 0], [0, 16, 41, 7, 30, 37, 0], [0, 8, 39, 31, 34, 10, 0]]"
ACO,25,1091.2801163707893,103.80946450005285,50000,8,"[[0, 44, 21, 29, 11, 42, 5, 25, 0], [0, 49, 2, 45, 9, 27, 0], [0, 7, 20, 14, 43, 4, 10, 0], [0, 24, 26, 34, 18, 8, 39, 31, 0], [0, 13, 1, 36, 15, 38, 35, 6, 32, 17, 0], [0, 46, 3, 22, 28, 48, 50, 12, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 37, 30, 40, 0]]"
ACO,26,1068.9334253767474,104.09417710010894,50000,8,"[[0, 27, 9, 45, 2, 49, 0], [0, 13, 21, 6, 35, 38, 15, 36, 1, 0], [0, 44, 12, 50, 32, 17, 48, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 46, 3, 22, 28, 31, 39, 8, 26, 0], [0, 24, 10, 37, 30, 7, 20, 0], [0, 34, 18, 4, 43, 14, 40, 0], [0, 25, 5, 42, 11, 29, 0]]"
ACO,27,1093.545918785493,102.88462840020657,50000,8,"[[0, 24, 46, 3, 17, 48, 28, 22, 31, 0], [0, 27, 9, 45, 2, 49, 0], [0, 44, 12, 50, 32, 6, 35, 38, 15, 0], [0, 18, 4, 43, 14, 40, 20, 0], [0, 42, 25, 19, 47, 33, 23, 0], [0, 21, 13, 29, 1, 36, 11, 5, 0], [0, 16, 41, 7, 30, 37, 0], [0, 8, 39, 26, 34, 10, 0]]"
